true\pred,Pick up and position kettle,Position kettle to pour,Move kettle,Prepare coffee equipment and scoop grounds,Transfer coffee grounds to dripper,Secure coffee container,Handle gooseneck kettle,Lift gooseneck kettle,Set down kettle and retrieve white bottle,Pour and close white bottle,Move bottle to coffee equipment,Prepare for pouring,Pour coffee,Pour milk into coffee
Pick up and position kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Position kettle to pour,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Move kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prepare coffee equipment and scoop grounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transfer coffee grounds to dripper,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Secure coffee container,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Handle gooseneck kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lift gooseneck kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Set down kettle and retrieve white bottle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pour and close white bottle,17,0,0,0,0,0,0,5,23,12,0,0,0,0
Move bottle to coffee equipment,0,0,0,0,0,0,0,6,1,0,0,0,0,0
Prepare for pouring,0,0,6,0,0,5,57,16,23,7,1,3,1,0
Pour coffee,3,2,5,7,7,7,0,0,22,92,0,0,5,1
Pour milk into coffee,0,0,0,0,0,0,0,0,0,10,0,0,0,0
